"";"Knro";"Kunta";"Keskusryhma"
"1";"005";"Alajärvi";"Maaseutumaiset kunnat"
"2";"009";"Alavieska";"Maaseutumaiset kunnat"
"3";"010";"Alavus";"Maaseutumaiset kunnat"
"4";"016";"Asikkala";"Taajaan asutut kunnat"
"5";"018";"Askola";"Maaseutumaiset kunnat"
"6";"019";"Aura";"Maaseutumaiset kunnat"
"7";"020";"Akaa";"Taajaan asutut kunnat"
"8";"035";"Brändö";"Maaseutumaiset kunnat"
"9";"043";"Eckerö";"Maaseutumaiset kunnat"
"10";"046";"Enonkoski";"Maaseutumaiset kunnat"
"11";"047";"Enontekiö";"Maaseutumaiset kunnat"
"12";"049";"Espoo";"Pääkaupunkiseutu"
"13";"050";"Eura";"Taajaan asutut kunnat"
"14";"051";"Eurajoki";"Maaseutumaiset kunnat"
"15";"052";"Evijärvi";"Maaseutumaiset kunnat"
"16";"060";"Finström";"Maaseutumaiset kunnat"
"17";"061";"Forssa";"Kaupunkimaiset kunnat"
"18";"062";"Föglö";"Maaseutumaiset kunnat"
"19";"065";"Geta";"Maaseutumaiset kunnat"
"20";"069";"Haapajärvi";"Taajaan asutut kunnat"
"21";"071";"Haapavesi";"Maaseutumaiset kunnat"
"22";"072";"Hailuoto";"Maaseutumaiset kunnat"
"23";"074";"Halsua";"Maaseutumaiset kunnat"
"24";"075";"Hamina";"Kaupunkimaiset kunnat"
"25";"076";"Hammarland";"Maaseutumaiset kunnat"
"26";"077";"Hankasalmi";"Maaseutumaiset kunnat"
"27";"078";"Hanko";"Kaupunkimaiset kunnat"
"28";"079";"Harjavalta";"Kaupunkimaiset kunnat"
"29";"081";"Hartola";"Maaseutumaiset kunnat"
"30";"082";"Hattula";"Taajaan asutut kunnat"
"31";"086";"Hausjärvi";"Maaseutumaiset kunnat"
"32";"090";"Heinävesi";"Maaseutumaiset kunnat"
"33";"091";"Helsinki";"Pääkaupunkiseutu"
"34";"092";"Vantaa";"Pääkaupunkiseutu"
"35";"097";"Hirvensalmi";"Maaseutumaiset kunnat"
"36";"098";"Hollola";"Kaupunkimaiset kunnat"
